player,TD,Z1D,Z2D,Z3D,Z4D,Z5D,HSR_count,sprint_count,max_speed,match_date,jersey_number,position,team_name,is_starting,substitute_time,total_playing_time,total_match_time
DIALLO ABDOU,8911.0,3590.2,4142.7,687.9,440.2,49.9,74.0,29.0,28.3,2022-11-29,22.0,DF,Senegal,True,90.0,90.0,90.0
GUEYE PAPE,11438.1,3496.6,5163.2,1826.7,824.7,127.0,136.0,52.0,29.5,2022-11-29,26.0,MF,Senegal,True,90.0,90.0,90.0
MENDY NAMPALYS,2878.5,814.6,1212.4,662.1,148.0,41.7,50.0,11.0,27.7,2022-11-29,6.0,MF,Senegal,False,74.0,16.0,90.0
DIENG BAMBA,2423.2,772.5,1105.2,377.5,143.9,24.2,33.0,13.0,30.1,2022-11-29,20.0,FW,Senegal,False,90.0,0.0,90.0
GALINDEZ HERNAN,4217.7,3332.4,733.5,87.7,45.1,19.0,12.0,4.0,30.1,2022-11-29,1.0,GK,Ecuador,True,90.0,90.0,90.0
TORRES FEIX,8863.2,3593.1,3971.6,930.6,287.2,79.8,94.0,31.0,30.1,2022-11-29,0.0,0,0,0,0.0,0.0,0.0
HINCAPIE PIERO,10405.2,3482.6,4786.4,1328.7,555.6,250.8,115.0,46.0,31.6,2022-11-29,3.0,DF,Ecuador,True,90.0,90.0,90.0
ESTUPINAN PERVIS,9449.9,4008.6,2908.7,1209.6,938.4,385.6,115.0,73.0,32.8,2022-11-29,7.0,DF,Ecuador,True,90.0,90.0,90.0
GRUEZO CARLOS,5183.8,1861.5,2090.6,864.7,271.6,95.4,65.0,20.0,29.8,2022-11-29,8.0,MF,Ecuador,True,46.0,46.0,90.0
ESTRADA MICHAEL,6323.1,2617.8,2886.5,604.5,175.1,38.6,53.0,15.0,28.9,2022-11-29,11.0,FW,Ecuador,True,64.0,64.0,90.0
VALENCIA ENNER,9352.3,3849.4,3826.9,921.2,526.5,227.3,82.0,45.0,32.9,2022-11-29,13.0,FW,Ecuador,True,90.0,90.0,90.0
PRECIADO ANGELO,8683.2,3350.9,3563.6,1022.0,527.9,217.9,88.0,49.0,31.7,2022-11-29,17.0,DF,Ecuador,True,85.0,85.0,90.0
PLATA GONZALO,10382.5,3905.9,3848.8,1478.5,889.8,259.6,128.0,59.0,32.2,2022-11-29,19.0,MF,Ecuador,True,90.0,90.0,90.0
